11,545.9844,39.91
12,64.8967,55.13
13,37.6633,58.82
14,22.808,63.34
15,17.4597,72.78
16,18.5303,74.87
17,13.4674,79.44
18,17.3565,81.4
19,12.7419,82.78
20,11.5377,85.23
21,11.8172,87.15
22,10.5813,88.92
23,10.5463,88.82
24,9.9846,90.51
25,10.1599,91.17
26,9.9833,91.56
27,9.8151,91.46
28,8.7341,91.91
29,9.5721,92.79
30,9.5766,92.51
31,8.4441,92.88
32,8.5081,93.3
33,8.9833,93.04
34,8.1624,93.43
35,8.4683,93.92
36,8.5896,93.9
37,8.5527,93.47
38,7.7408,93.53
39,7.8159,93.71
40,7.7338,93.82
41,7.7879,94.17
42,8.1742,94.16
43,8.2165,93.91
44,7.8132,93.89
45,7.2665,94.85
46,8.6103,94.24
47,7.4294,94.46
48,7.5812,94.67
49,7.7518,94.88
50,7.6952,94.81
51,7.9731,94.55
52,7.9414,94.87
53,7.7658,94.93
54,7.4178,95.0
55,7.7842,94.91
56,7.4734,95.16
57,8.0702,95.09
58,7.6909,95.14
59,7.4063,95.15
60,7.6303,95.18
61,7.8788,95.01
62,7.1339,95.2
63,7.1813,95.34
64,7.4726,95.47
65,8.3012,95.06
66,6.9586,95.16
67,7.0879,95.18
68,7.0689,95.3
69,7.4739,95.05
70,6.8992,95.29
