21,142.006,29.61
22,44.1115,31.68
23,26.3714,31.24
24,23.821,31.71
25,20.328,31.44
26,20.7424,32.36
27,15.3829,32.3
28,16.2039,33.37
29,13.5013,33.05
30,14.0466,33.6
31,13.1903,33.76
32,12.191,33.88
33,14.7908,35.09
34,14.7028,34.99
35,11.5236,34.82
36,12.4873,35.01
37,12.0051,34.91
38,11.8268,35.23
39,12.0038,35.59
40,10.6405,34.93
41,12.9278,35.95
42,14.4473,36.36
43,13.3855,35.95
44,11.4658,36.28
45,11.8787,35.58
46,13.6162,35.86
47,10.9411,35.51
48,10.959,35.98
49,12.3844,35.46
50,11.3347,36.48
